Home_Team,Away_Team,Home_Total_Shoots,Home_Accurate_Shoots,Away_Total_Shoots,Away_Accurate_Shoots,Home_Win,Draw,Away_Win,0-0,0-1,0-2,0-3,0-4,0-5,1-0,1-1,1-2,1-3,1-4,1-5,2-0,2-1,2-2,2-3,2-4,0-6,3-0,3-1,3-2,3-3,4-0,4-1,4-2,5-0,5-1
MKE Ankaragücü,Alanyaspor,10,3,21,9,3.20,3.30,1.67,17.00,9.50,9.50,13.00,25.00,60.00,15.00,6.25,7.00,10.00,20.00,50.00,20.00,10.00,9.00,15.00,28.00,200.00,45.00,22.00,22.00,28.00,120.00,60.00,60.00,250.00,250.00
Sivasspor,Kasımpaşa,19,9,6,3,1.32,3.75,5.50,5.50,15.00,35.00,120.00,250.00,250.00,5.75,7.00,17.00,60.00,250.00,250.00,5.25,6.50,15.00,60.00,250.00,250.00,7.50,9.00,22.00,80.00,13.00,17.00,40.00,30.00,40.00
Çaykur Rizespor,İstanbul Başakşehir,14,5,9,3,2.80,2.95,1.95,5.50,8.25,9.50,17.00,40.00,120.00,10.00,5.25,7.00,12.00,28.00,80.00,15.00,9.00,9.00,17.00,45.00,250.00,35.00,20.00,22.00,35.00,100.00,60.00,70.00,250.00,200.00
Hatayspor,Gaziantep FK,12,4,9,4,1.28,4.25,5.50,20.00,20.00,45.00,120.00,250.00,250.00,8.25,8.50,17.00,50.00,200.00,250.00,6.75,6.75,13.00,40.00,150.00,250.00,8.00,8.00,15.00,50.00,12.00,12.00,25.00,22.00,25.00
Karagümrük,Denizlispor,24,11,8,3,1.20,4.75,6.50,60.00,200.00,250.00,250.00,8.50,10.00,20.00,70.00,250.00,250.00,6.75,7.25,15.00,50.00,200.00,250.00,7.25,8.00,17.00,50.00,10.00,12.00,25.00,20.00,20.00,40.00,2.10
Antalyaspor,Konyaspor,10,3,8,3,3.10,2.95,1.85,1.18,4.40,5.75,5.50,7.25,8.25,15.00,35.00,100.00,10.00,5.25,7.00,12.00,28.00,80.00,15.00,9.50,10.00,20.00,45.00,250.00,40.00,22.00,28.00,40.00,120.00,75.00
Kayserispor,Fenerbahçe,9,3,10,4,4.00,3.40,1.52,3.25,2.15,15.00,8.00,7.50,10.00,20.00,45.00,15.00,6.25,6.75,9.50,17.00,40.00,25.00,12.00,10.00,17.00,30.00,120.00,60.00,30.00,30.00,40.00,200.00,100.00,100.00
Galatasaray,Yeni Malatyaspor,33,10,5,1,1.10,6.00,8.50,250.00,250.00,250.00,12.00,15.00,30.00,100.00,250.00,250.00,8.00,8.50,20.00,60.00,250.00,250.00,7.25,8.00,17.00,60.00,8.50,9.00,20.00,12.00,13.00,22.00,2.00,1.45
Göztepe,Beşiktaş,9,3,14,3,5.75,4.75,1.22,8.00,8.25,12.00,20.00,28.00,10.00,7.50,7.50,10.00,17.00,50.00,20.00,13.00,15.00,20.00,40.00,150.00,50.00,35.00,40.00,250.00,200.00,150.00,250.00,250.00,250.00,13.00
Trabzonspor,Gençlerbirliği,20,11,9,4,1.62,3.40,3.30,3.30,1.65,17.00,15.00,20.00,45.00,150.00,250.00,9.00,6.50,10.00,22.00,70.00,250.00,9.00,6.75,9.50,22.00,70.00,250.00,13.00,9.50,15.00,30.00,25.00,20.00,28.00
Konyaspor,Trabzonspor,27,6,10,5,2.55,3.00,2.05,5.25,7.25,9.00,17.00,50.00,150.00,8.25,5.00,7.50,15.00,40.00,120.00,12.00,8.50,10.00,22.00,60.00,250.00,30.00,20.00,28.00,50.00,100.00,60.00,80.00,250.00,250.00
Alanyaspor,BB Erzurumspor,13,6,10,6,1.38,4.00,4.25,5.25,7.25,17.00,15.00,28.00,80.00,250.00,250.00,7.50,7.00,13.00,35.00,150.00,250.00,7.00,6.50,12.00,35.00,120.00,250.00,9.00,9.00,17.00,45.00,17.00,15.00,30.00
Kasımpaşa,MKE Ankaragücü,10,5,16,7,2.00,3.20,2.55,5.50,10.00,13.00,30.00,80.00,250.00,8.25,5.25,8.50,17.00,50.00,200.00,10.00,7.25,9.00,22.00,60.00,250.00,17.00,13.00,20.00,35.00,45.00,30.00,45.00,120.00,100.00
Fenerbahçe,Sivasspor,19,7,14,3,1.35,4.00,4.75,5.50,7.50,17.00,15.00,30.00,100.00,250.00,250.00,7.25,7.50,15.00,40.00,150.00,250.00,6.50,6.50,13.00,35.00,150.00,250.00,8.50,8.50,17.00,50.00,15.00,15.00,30.00
İstanbul Başakşehir,Kayserispor,3,0,7,2,2.00,2.90,2.85,7.50,8.00,13.00,35.00,120.00,250.00,6.25,5.00,9.00,25.00,80.00,250.00,8.00,7.25,12.00,35.00,120.00,250.00,17.00,15.00,25.00,60.00,45.00,40.00,75.00,150.00,150.00
Gaziantep FK,Çaykur Rizespor,19,7,10,6,1.70,3.30,3.25,4.40,5.50,13.00,12.00,20.00,45.00,150.00,250.00,8.50,6.00,10.00,22.00,70.00,250.00,8.50,6.75,9.50,25.00,75.00,250.00,13.00,10.00,17.00,35.00,28.00,22.00,35.00
Yeni Malatyaspor,Hatayspor,12,4,11,2,2.55,3.10,2.00,5.50,7.50,9.50,17.00,45.00,150.00,9.00,5.00,7.25,13.00,35.00,120.00,13.00,8.50,10.00,22.00,60.00,250.00,30.00,20.00,25.00,45.00,80.00,60.00,75.00,250.00,250.00
Denizlispor,Galatasaray,7,3,19,10,8.00,5.50,1.10,5.25,5.75,8.00,13.00,25.00,12.00,7.50,8.25,12.00,20.00,80.00,30.00,22.00,25.00,35.00,30.00,250.00,150.00,100.00,100.00,250.00,250.00,250.00,250.00,250.00,250.00,15.00
Beşiktaş,Karagümrük,17,5,5,5,1.30,4.25,5.00,8.00,17.00,17.00,35.00,100.00,250.00,250.00,7.50,8.00,15.00,45.00,200.00,250.00,6.50,6.50,13.00,40.00,150.00,250.00,8.25,8.25,17.00,50.00,13.00,13.00,28.00,28.00
Gençlerbirliği,Göztepe,15,9,7,3,2.25,3.20,2.20,5.50,8.50,10.00,22.00,60.00,200.00,9.00,5.25,7.50,15.00,40.00,120.00,12.00,8.00,9.50,20.00,50.00,250.00,22.00,15.00,20.00,40.00,60.00,40.00,60.00,200.00,150.00
